,小区名称,price,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,别墅类型
2482,汇宝花园,180万,金水区 省中医院 ,3室2厅1厨2卫,高楼层 (共6层),142.58㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,自供暖,无,2022-04-08,商品房,2004-06-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2483,豫军长基花园,188万,金水区 绿茵广场 ,3室1厅1厨2卫,中楼层 (共34层),143.1㎡,平层,111.35㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-03-29,商品房,2016-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2484,文博花园,440万,金水区 文博广场 ,3室2厅1厨2卫,中楼层 (共11层),166.29㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-03-20,商品房,2008-09-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2485,纬五路78号院,120万,金水区 省人民医院 ,3室2厅1厨2卫,高楼层 (共6层),111.31㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,2022-03-25,商品房,2003-08-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2486,华瑞紫桂苑,165万,金水区 海洋馆 ,3室2厅1厨2卫,高楼层 (共6层),125.36㎡,平层,109.61㎡,板楼,南,混合结构,简装,一梯两户,集中供暖,无,2021-04-25,商品房,2010-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2487,天福苑小区,235万,金水区 科技市场 ,3室2厅1厨1卫,高楼层 (共7层),113.06㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯四户,自供暖,无,2021-03-11,商品房,2018-10-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
2488,银基王朝三期万和园,240万,金水区 燕庄 近1号线民航路站,3室2厅1厨2卫,高楼层 (共32层),118㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2021-09-25,商品房,2018-10-22,普通住宅,满两年,非共有,有抵押 130万元 金融公司垫资,已上传房本照片,,,
2489,非常国际二期,200万,金水区 枣庄 ,4室1厅1厨2卫,高楼层 (共29层),155㎡,平层,141㎡,板楼,南 北,钢混结构,毛坯,两梯五户,集中供暖,有,2021-04-28,商品房,2014-08-14,普通住宅,满五年,共有,有抵押 110万元 客户偿还,已上传房本照片,,,
2490,经一路北31号院,117万,金水区 财富广场 近5号线省人民医院站,3室2厅1厨1卫,高楼层 (共6层),146.84㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,自供暖,无,2020-05-20,商品房,2001-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,
2491,瀚宇新城,149万,金水区 索凌路北段 ,3室2厅1厨2卫,高楼层 (共27层),133.53㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2020-07-25,商品房,2019-02-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,
